ID;Active (0/1);Name;Default Category;Price tax excl.;Tax rules ID;On sale (0/1);Reference #;Show price;url_image;
"182";"1";"Mancuerna Mastodonte 14.3kg";"21";"14697.478992";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/4/9/5/495-thickbox_default.jpg";
"183";"1";"Mancuerna Mastodonte 16.8 kg";"21";"16798.319328";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/2/7/3/273-thickbox_default.jpg";
"183";"1";"Mancuerna Mastodonte 16.8 kg";"21";"16798.319328";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/4/9/6/496-thickbox_default.jpg";
"184";"1";"Mancuerna Mastodonte 21.8 kg";"21";"21000.000000";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/2/7/4/274-thickbox_default.jpg";
"184";"1";"Mancuerna Mastodonte 21.8 kg";"21";"21000.000000";"53";"0";"";"1";"https://pesaschile.cl/2/img/p/4/9/7/497-thickbox_default.jpg";
"190";"1";"Par Mancuerna Hexagonal HWM 5kg";"2";"16789.915966";"53";"0";"MH05";"1";"https://pesaschile.cl/2/img/p/1/1/4/5/1145-thickbox_default.jpg";
"191";"1";"Par Mancuerna Hexagonal HWM  10kg";"2";"33596.638656";"53";"0";"MH10";"1";"https://pesaschile.cl/2/img/p/1/1/4/6/1146-thickbox_default.jpg";
"192";"1";"Par Mancuerna Hexagonal HWM 15kg";"2";"50403.361345";"53";"0";"MH15";"1";"https://pesaschile.cl/2/img/p/1/1/4/7/1147-thickbox_default.jpg";
"193";"1";"Par Mancuerna Hexagonal HWM  20kg";"2";"67210.084034";"53";"0";"MH20";"1";"https://pesaschile.cl/2/img/p/1/1/4/8/1148-thickbox_default.jpg";
"194";"1";"Par Mancuerna Hexagonal HWM 25kg";"2";"84016.806723";"53";"0";"MH25";"1";"https://pesaschile.cl/2/img/p/1/1/4/9/1149-thickbox_default.jpg";
"195";"1";"Par Mancuerna Hexagonal HWM 30kg";"2";"100823.529412";"53";"0";"MH30";"1";"https://pesaschile.cl/2/img/p/1/3/2/3/1323-thickbox_default.jpg";
"196";"1";"Par Bumper Plate 20kg";"18";"78974.789916";"53";"0";"DOB20";"1";"https://pesaschile.cl/2/img/p/1/0/7/5/1075-thickbox_default.jpg";
"196";"1";"Par Bumper Plate 20kg";"18";"78974.789916";"53";"0";"DOB20";"1";"https://pesaschile.cl/2/img/p/1/0/7/6/1076-thickbox_default.jpg";
"197";"1";"Par Bumper Plate 25kg";"18";"92420.168067";"53";"0";"DOB25";"1";"https://pesaschile.cl/2/img/p/1/0/7/7/1077-thickbox_default.jpg";
"197";"1";"Par Bumper Plate 25kg";"18";"92420.168067";"53";"0";"DOB25";"1";"https://pesaschile.cl/2/img/p/1/0/7/8/1078-thickbox_default.jpg";
"198";"1";"Par Bumper Plate 15kg";"18";"53764.705882";"53";"0";"DOB15";"1";"https://pesaschile.cl/2/img/p/1/0/7/3/1073-thickbox_default.jpg";
"198";"1";"Par Bumper Plate 15kg";"18";"53764.705882";"53";"0";"DOB15";"1";"https://pesaschile.cl/2/img/p/1/0/7/4/1074-thickbox_default.jpg";
"199";"1";"Par Bumper Plate 5kg";"18";"30235.294118";"53";"0";"DOB05";"1";"https://pesaschile.cl/2/img/p/1/0/6/9/1069-thickbox_default.jpg";
"199";"1";"Par Bumper Plate 5kg";"18";"30235.294118";"53";"0";"DOB05";"1";"https://pesaschile.cl/2/img/p/1/0/7/0/1070-thickbox_default.jpg";
"200";"1";"Par Bumper Plate 10kg";"18";"40319.327731";"53";"0";"DOB10";"1";"https://pesaschile.cl/2/img/p/1/0/7/1/1071-thickbox_default.jpg";
"200";"1";"Par Bumper Plate 10kg";"18";"40319.327731";"53";"0";"DOB10";"1";"https://pesaschile.cl/2/img/p/1/0/7/2/1072-thickbox_default.jpg";
"202";"1";"Ab Mat";"33";"8394.957983";"53";"0";"FIAM";"1";"https://pesaschile.cl/2/img/p/1/1/1/9/1119-thickbox_default.jpg";
"203";"1";"Set de Tubos de Expansión";"35";"16798.319328";"53";"0";"SET";"1";"https://pesaschile.cl/2/img/p/1/1/4/2/1142-thickbox_default.jpg";
"205";"1";"Colchoneta de alto trafico";"2";"12596.638656";"53";"0";"FICL";"1";"https://pesaschile.cl/2/img/p/1/7/8/5/1785-thickbox_default.jpg";
"206";"1";"Rueda Abdominal";"2";"4193.277311";"53";"0";"FIRA";"1";"https://pesaschile.cl/2/img/p/1/3/5/4/1354-thickbox_default.jpg";
"210";"1";"Kettlebell Acero 24Kg";"2";"37310.924370";"53";"0";"KA24";"1";"https://pesaschile.cl/2/img/p/3/1/6/316-thickbox_default.jpg";
"211";"1";"Kettlebell Acero 28Kg";"2";"43529.411765";"53";"0";"KA28";"1";"https://pesaschile.cl/2/img/p/3/1/7/317-thickbox_default.jpg";
"212";"1";"Barra W Olímpica ";"26";"37806.722689";"53";"0";"BOW";"1";"https://pesaschile.cl/2/img/p/3/1/9/319-thickbox_default.jpg";
"213";"1";"Barra Romana Olímpica";"26";"33605.042017";"53";"1";"BORO";"1";"https://pesaschile.cl/2/img/p/3/2/0/320-thickbox_default.jpg";
