"Product ID";"Imagen";"Nombre";"Referencia";"CategorÃ­a";"Precio (imp. incl.)";"Cantidad";"Estado";"Iva"
"526";"https://pesaschile.cl/clon/2/img/p/1/3/4/8/1348.jpg";"Pack Sentadillas";"PS";"Peso libre";"299990";"7";"0";"1"
"525";"https://pesaschile.cl/clon/2/img/p/1/3/6/6/1366.jpg";"Pack Acero Vinilo Light";"PKAL";"Pack y Promociones";"79990";"0";"1";"1"
"524";"https://pesaschile.cl/clon/2/img/p/.jpg";"Barra Training HWM + 170LB";"-";"Productos";"0";"0";"1";"1"
"523";"https://pesaschile.cl/clon/2/img/p/1/3/4/6/1346.jpg";"Pack Crumb Elite HWM";"PDOCE";"Discos";"499990";"9";"0";"1"
"520";"https://pesaschile.cl/clon/2/img/p/1/7/8/4/1784.jpg";"PACK BANQUILLO+ MALETIN YORK";"PBO";"Pack y Promociones";"129990";"10";"0";"1"
"519";"https://pesaschile.cl/clon/2/img/p/1/5/4/9/1549.jpg";"MaletÃ­n Golden Coast 20kg";"PMY";"Mancuernas Completas";"34990";"0";"1";"1"
"518";"https://pesaschile.cl/clon/2/img/p/1/5/6/1/1561.jpg";"Barra Training Serie 15kg HWM";"BORT15";"Productos";"139990";"27";"0";"1"
"517";"https://pesaschile.cl/clon/2/img/p/1/5/7/0/1570.jpg";"Barra TÃ©cnica 7.5kg";"BTA";"Barras";"74990";"69";"0";"1"
"516";"https://pesaschile.cl/clon/2/img/p/1/5/4/4/1544.jpg";"Tape KinesiolÃ³gico";"BKT";"Fitness";"4990";"0";"1";"1"
"515";"https://pesaschile.cl/clon/2/img/p/1/3/7/2/1372.jpg";"Set 4 Cajones PliomÃ©tricos";"CP4";"Productos";"159990";"0";"1";"1"
"514";"https://pesaschile.cl/clon/2/img/p/1/7/4/2/1742.jpg";"Polea Alta MO";"MO-3500";"Maquinas Alto Trafico OBELIX";"899990";"3";"0";"1"
"513";"https://pesaschile.cl/clon/2/img/p/1/6/3/6/1636.jpg";"Jaula de Potencia MO";"MO-6100";"Maquinas Alto Trafico OBELIX";"499990";"3";"0";"1"
"512";"https://pesaschile.cl/clon/2/img/p/1/6/3/5/1635.jpg";"Smith MO";"MO-6200";"Maquinas Alto Trafico OBELIX";"1199990";"5";"0";"1"
"511";"https://pesaschile.cl/clon/2/img/p/1/7/4/6/1746.jpg";"Prensa Horizontal MO";"MO-5500";"Maquinas Alto Trafico OBELIX";"999990";"3";"0";"1"
"510";"https://pesaschile.cl/clon/2/img/p/1/6/3/3/1633.jpg";"T - Rowing MO";"MO-3120";"Maquinas Alto Trafico OBELIX";"329990";"4";"0";"1"
"509";"https://pesaschile.cl/clon/2/img/p/1/6/3/2/1632.jpg";"Banco Abdominal MO";"MO-700";"Productos";"239990";"3";"0";"1"
"508";"https://pesaschile.cl/clon/2/img/p/1/3/0/8/1308.jpg";"Pack 170LB Crumb Bumper";"POC170";"HWM PACK";"219990";"7";"0";"1"
"507";"https://pesaschile.cl/clon/2/img/p/1/3/1/1/1311.jpg";"Pack 260LB Crumb Bumper";"POC260";"HWM PACK";"329990";"9";"0";"1"
"506";"https://pesaschile.cl/clon/2/img/p/1/3/0/6/1306.jpg";"Par Crumb Bumper 45LB";"DOC45";"Productos";"120340";"0";"1";"1"
"505";"https://pesaschile.cl/clon/2/img/p/1/3/0/4/1304.jpg";"Par Crumb Bumper 35LB";"DOC35";"Productos";"95700";"20";"0";"1"
"504";"https://pesaschile.cl/clon/2/img/p/1/3/0/9/1309.jpg";"Par Crumb Bumper 15LB";"DOC15";"Productos";"41360";"17";"0";"1"
"503";"https://pesaschile.cl/clon/2/img/p/1/3/0/2/1302.jpg";"Par Crumb Bumper 25LB";"DOC25";"Productos";"68200";"22";"0";"1"
"490";"https://pesaschile.cl/clon/2/img/p/1/3/0/0/1300.jpg";"Par Crumb Bumper 10LB";"DOC10";"Bumper plate y Barras OlÃ­mpicas";"28380";"16";"0";"1"
"488";"https://pesaschile.cl/clon/2/img/p/1/2/5/5/1255.jpg";"Toma Barra Corta";"TBC";"Accesorios";"19990";"40";"0";"1"
"487";"https://pesaschile.cl/clon/2/img/p/1/2/5/3/1253.jpg";"Rodillera Mac David";"";"Deportes de contacto";"19990";"0";"1";"1"
"486";"https://pesaschile.cl/clon/2/img/p/1/2/5/2/1252.jpg";"Pack Fit Home Full";"PHFF";"Pack";"69990";"5";"0";"1"
"485";"https://pesaschile.cl/clon/2/img/p/1/2/5/1/1251.jpg";"Pack Fit Home Avanzado";"PHA";"Pack";"49990";"6";"0";"1"
"484";"https://pesaschile.cl/clon/2/img/p/1/2/5/0/1250.jpg";"Pack Fit Home Inicio";"PHF";"Pack";"34990";"2";"0";"1"
"483";"https://pesaschile.cl/clon/2/img/p/1/2/4/9/1249.jpg";"Par D.Fraccional 2.5kg";"DOF025";"Productos";"24990";"1";"0";"1"
"481";"https://pesaschile.cl/clon/2/img/p/.jpg";"Pantorrillera 2.0 Promachine";"";"Productos";"0";"0";"1";"1"
"480";"https://pesaschile.cl/clon/2/img/p/1/2/3/8/1238.jpg";"Pack discos OlÃ­mpicos engomados Promachine";"PDOP";"Pack y Promociones";"239990";"10";"0";"1"
"479";"https://pesaschile.cl/clon/2/img/p/1/2/1/9/1219.jpg";"MÃ¡quina Dorsales T8  ";"T8-606";"Maquinas Alto Trafico OBELIX";"899990";"2";"0";"1"
"478";"https://pesaschile.cl/clon/2/img/p/1/2/1/8/1218.jpg";"MÃ¡quina Remo Sentado T8  ";"T8-603";"Maquinas Alto Trafico OBELIX";"799990";"3";"0";"1"
